Date,Open,High,Low,Close
2021/11/12,17.49,17.690001,16.15,16.290001
2021/11/15,17.030001,17.459999,16.49,16.49
2021/11/16,16.860001,17.08,16.030001,16.370001
2021/11/17,16.360001,17.190001,16.280001,17.110001
2021/11/18,16.809999,18.15,16.379999,17.59
2021/11/19,17.360001,19.01,17.23,17.91
2021/11/22,18.200001,19.59,17.35,19.17
2021/11/23,20.24,20.91,19.030001,19.379999
2021/11/24,19.17,20.959999,18.52,18.58
2021/11/26,26.620001,28.99,23.879999,28.620001
2021/11/29,25.309999,25.690001,21.709999,22.959999
2021/11/30,26.23,28.559999,23.709999,27.190001
2021/12/1,24.92,32.610001,22.379999,31.120001
2021/12/2,29.440001,30.68,27.15,27.950001
2021/12/3,26.950001,35.32,25.889999,30.67
2021/12/6,28.99,30.82,26.75,27.18
2021/12/7,24.58,24.690001,21.58,21.889999
2021/12/8,21.74,23.110001,19.85,19.9
2021/12/9,20.309999,22.120001,19.940001,21.58
